ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,protein_count
111291,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267891.0,Moritellaceae,58050.0,Moritella,111291.0,Moritella profunda,species,Moritella profunda,2.00,2.00,2.0,original,optimum,Tempura,Tempura8634,9
1245754,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,75682.0,Oxalobacteraceae,1229970.0,Glaciimonas,1245754.0,Glaciimonas frigoris,species,Glaciimonas frigoris,3.00,3.00,3.0,original,optimum,Tempura,Tempura8557,0
174037,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267894.0,Psychromonadaceae,67572.0,Psychromonas,174037.0,Psychromonas profunda,species,Psychromonas profunda,3.50,3.50,3.5,original,optimum,Tempura,Tempura8632,0
37448,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,52972.0,Polaromonas,37448.0,Polaromonas vacuolata,species,Polaromonas vacuolata,4.00,4.00,4.0,original,optimum,Tempura,Tempura8633,3376
1970431,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970431.0,Sphingomonas sp. 12-62-6,species,Sphingomonas sp. 12-62-6,4.20,4.20,4.2,original,optimum,aciDB,aciDB235,0
1970432,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970432.0,Sphingomonas sp. 28-62-11,species,Sphingomonas sp. 28-62-11,4.20,4.20,4.2,original,optimum,aciDB,aciDB236,0
1970433,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970433.0,Sphingomonas sp. 28-62-20,species,Sphingomonas sp. 28-62-20,4.20,4.20,4.2,original,optimum,aciDB,aciDB232,0
1970434,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970434.0,Sphingomonas sp. 28-63-12,species,Sphingomonas sp. 28-63-12,4.20,4.20,4.2,original,optimum,aciDB,aciDB231,0
1970435,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970435.0,Sphingomonas sp. 28-66-16,species,Sphingomonas sp. 28-66-16,4.20,4.20,4.2,original,optimum,aciDB,aciDB233,0
1970436,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970436.0,Sphingomonas sp. 32-62-10,species,Sphingomonas sp. 32-62-10,4.20,4.20,4.2,original,optimum,aciDB,aciDB234,0
1970597,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,,,,,1970597.0,Sphingomonadales bacterium 35-56-22,species,Sphingomonadales bacterium 35-56-22,4.20,4.20,4.2,original,optimum,aciDB,aciDB228,0
